link,gambar,nama_produk,harga,diskon,rating,kota,deskripsi
https://shopee.co.id/Boneeto-Susu-Bubuk-Anak-Sekolah-Yummy-Choco-3-x-685g-Nutrisi-Pertumbuhan-Anak-untuk-Daya-Pikir-dan-Tubuh-Aktif-i.123144186.4958801834,https://down-id.img.susercontent.com/file/id-11134201-7rasl-m5ccuw236534c2_tn.webp,Boneeto Susu Bubuk Anak Sekolah Yummy Choco 3 x 685g - Nutrisi Pertumbuhan Anak untuk Daya Pikir dan Tubuh Aktif,258.400,-3%,4.9,KOTA SURABAYA,"Bantu Sobat Hebat untuk tetap aktif dengan Anchor Boneeto Yummy Choco 685gr, sebuah susu bubuk yang diformulasikan khusus sebagai susu pertumbuhan untuk anak. Dibuat dari susu New Zealand berkualitas tinggi, minuman anak rasa cokelat yang lezat ini mengandung nutrisi A-Force yang terdiri dari kombinasi 12 Vitamin & 9 Mineral, Hi-Calcium untuk tulang dan gigi, sumber Protein untuk pertumbuhan, Vitamin D3 untuk penyerapan kalsium, Vitamin B1 & B2 untuk energi, serta Magnesium untuk kepadatan tulang. Tersedia juga dalam kemasan lain"
https://shopee.co.id/Paket-Mix-Noodle-(3-Pcs)-Ladang-Lima-Mie-Sayur-Instan-Gluten-Free-BEBAS-MSG-i.129201096.21553410251,https://down-id.img.susercontent.com/file/id-11134207-7ras9-m2d8ideh9vi802_tn.webp,Paket Mix Noodle (3 Pcs) - Ladang Lima Mie Sayur Instan Gluten Free BEBAS MSG,28.868,-16%,4.9,KOTA SURABAYA,"Ini dia rekomendasi paket praktis ala Ladang Lima, pilihan paket hemat & sehat yang berisi 1 pcs Mie Korea 94g (mie instan kuah pedas), 1 pcs Veggie Noodle Beet 76g (mie instan goreng), dan 1 pcs Mie Ayam Bawang 72g (mie instan kuah). Varian Noodle ""Gluten Free"" Ladang Lima hadir sebagai solusi mie sehat bebas gluten bagi seluruh keluarga Indonesia, cara mudah makan sayur untuk generasi bebas micin. Makanan instan mie sayur sehat ini berbahan dasar sayur segar bebas pestisida dipadukan dengan Tepung Mocaf/Singkong Ladang Lima, diolah tanpa proses penggorengan serta dilengkapi bumbu dengan rempah-rempah alami NO MSG. Manfaat sehatnya antara lain bebas gluten, trans fat, dan kolesterol, sumber zat besi dan kalsium, tinggi serat, rendah lemak, tanpa telur dan pewarna sintetis, serta bebas bahan pengawet dan tanpa MSG. Nikmati mie sayur lezat dan praktis ini!"
https://shopee.co.id/Date-Crown-Kurma-Lulu-(1kg)-dari-UAE-in-Box-i.196908069.7616869544,https://down-id.img.susercontent.com/file/id-11134207-7r990-lwwahw2impbg3a_tn.webp,Date Crown Kurma Lulu (1kg) dari UAE in Box,80.000,-27%,4.9,KOTA JAKARTA TIMUR,"Kurma Date Crown Lulu, berasal dari Uni Emirat Arab, hadir sebagai buah kering dan camilan manis alami dalam kemasan kotak 1 kilogram (berat kotor 1.2 kilogram). Kurma Lulu memiliki ukuran kecil yang unik dengan bentuk bulat dan warna coklat muda hingga coklat tua, dengan rasa manis yang pas dan citarasa yang khas. Simpan di tempat yang kering dan sejuk. Jangka hayat produk ini adalah 24 bulan. Produk ini memiliki Sertifikasi Halal dan BPOM RI ML 817509025097. Tips Mengkonsumsi kurma secara rutin baik untuk kesehatan otak dan tulang karena merupakan sumber vitamin dan mineral. Jadikan kurma sebagai pengganti gula alami untuk makanan Anda"
https://shopee.co.id/Matchathins-Cookies-80g-Healthy-Snack-Gluten-Free-With-Protein-Ladang-Lima-i.129201096.22259965963,https://down-id.img.susercontent.com/file/id-11134207-7r990-lnkw9uk0wekac4_tn.webp,Matchathins Cookies 80g - Healthy Snack Gluten Free With Protein Ladang Lima,100.825,-16%,4.9,KOTA SURABAYA,"Matchathins Cookies Ladang Lima adalah makanan ringan berupa biskuit sehat, mudah, dan bebas gluten. Varian kue kering terbaru dari Ladang Lima ini kaya akan antioksidan, merupakan perpaduan matcha Jepang dengan renyahnya almond panggang, menghasilkan cookies crispy bebas gluten dengan rasa matcha yang 1  otentik dan nikmat. Sebagai camilan sehat, produk ini adalah sumber omega 3 & 6, bebas kolesterol & trans fat, kaya antioksidan, bebas gluten & telur, tanpa pengawet & pemanis buatan, tinggi serat, serta rendah indeks glikemik (aman untuk diabetes dan autoimun). Bahan-bahannya antara lain tepung singkong Ladang Lima, pati jagung, cokelat (mengandung susu), garam, biji rami, minyak kelapa, gula non rafinasi, bubuk matcha (1,7%), dan kacang almond. 2  Masa simpan produk: 14 bulan. Produk ini tersertifikasi Halal MUI & BPOM RI MD043739000700186. Net weight: 80g"
https://shopee.co.id/Sido-Muncul-Jamu-Klingsir-10's-Air-Seni-Tidak-Lancar-Keringat-Dingin-i.139447146.6338386754,https://down-id.img.susercontent.com/file/id-11134201-7r98o-lqd842vzpb2o60_tn.webp,Sido Muncul Jamu Klingsir 10's - Air Seni Tidak Lancar Keringat Dingin,18.241,,4.9,KOTA DEPOK,"Sido Muncul Jamu Klingsir merupakan obat herbal tradisional yang dapat membantu mengobati penyakit klingsir dengan gejala-gejala, seperti pinggang terasa sakit, mengeluarkan keringat dingin, dan air seni tidak lancar. Komposisi: Curcumae Rhizoma, Languatis Rhizoma, Kaempferiae Rhizoma, Cyperi rhizoma, Coriandri Fructus. Manfaat herbal ini adalah membantu mengobati penyakit klingsir dengan gejala-gejala tersebut. Termasuk dalam kategori jamu dan obat tradisional"
https://shopee.co.id/Meg-Cheddar-Slice-8-Slices-i.138164138.7112180501,https://down-id.img.susercontent.com/file/id-11134207-7r990-lokuutgynz0c4e_tn.webp,Meg Cheddar Slice 8 Slices,12.500,-33%,4.9,KOTA JAKARTA TIMUR,"MEG Cheddar Slice 8 Lembar adalah kategori produk susu, khususnya keju cheddar olahan berbentuk lembaran yang praktis dan siap pakai. Cocok untuk MEG Cheeselover yang membutuhkan keju dengan rasa yang cheesy banget, tekstur lembut, dan tidak mudah patah. Produk ini memiliki berat netto 128 gram dan umur simpan 10 bulan. NOTES: Produk ini sedang dalam proses pergantian kemasan, sehingga kemasan yang diterima mungkin berbeda tergantung persediaan. Nikmati bahan makanan lezat ini dalam berbagai kreasi Anda"
https://shopee.co.id/Permen-Tolak-Angin-(Isi-50-Butir)-Masuk-Angin-Tenggorokan-Gatal-i.139447146.5738391422,https://down-id.img.susercontent.com/file/id-11134201-7r98o-lqd87ytwwwl4c0_tn.webp,Permen Tolak Angin (Isi 50 Butir) - Masuk Angin Tenggorokan Gatal,27.841,,4.9,KAB. SIDOARJO," Sido Muncul Permen Tolak Angin merupakan makanan ringan berupa permen herbal yang cocok dinikmati saat dalam perjalanan. Obat herbal dalam bentuk permen ini bermanfaat untuk melegakan, menghangatkan, dan menenangkan tenggorokan. Rasanya yang hangat berasal dari kandungan rempah (Madu, Mint, Kapulaga, Jahe, Buah Adas, Daun Cengkeh) dan madu yang memberikan rasa manis alami. Manfaat utamanya adalah menghangatkan dan melegakan tenggorokan. Termasuk dalam kategori permen dan obat masuk angin"
https://shopee.co.id/Jamu-Jamoe-Life-Style-Tolak-Linu-Herbal-Meredakan-Pegal-Nyeri-Sendi-i.139447146.9706044047,https://down-id.img.susercontent.com/file/id-11134201-7r98q-lqiqmtgpt3xa9c_tn.webp,Jamu Jamoe Life Style Tolak Linu Herbal Meredakan Pegal Nyeri Sendi,21.033,,4.9,KOTA DEPOK,"Jamoe Life Style Tolak Linu merupakan obat herbal tradisional alami yang diolah secara higienis untuk menyegarkan tubuh sekaligus memberikan sejumlah manfaat lainnya. Dengan kemasan yang praktis dan stylish, jamu ini telah disterilisasi modern untuk membantu meredakan pegal linu dan sakit otot pinggang. Jamoe Life Style Tolak Linu pun disajikan dengan rasa yang ringan, kandungan yang aman, dan kemasan yang kekinian untuk hidup sehat alami Anda. Komposisi: Laos, Lempuyang, Cabe Jawa, Temulawak, Teki, Meniran, Daun Sembung, Jahe, Kencur, Pulasari, Adas, Ginseng, Fruktosa, Gula Palem, Sukralosa. Manfaatnya adalah menyegarkan tubuh, meredakan linu, meredakan nyeri dan sakit pinggang, serta meredakan pegal-pegal. Termasuk dalam kategori obat tradisional dan minuman kesehatan."
https://shopee.co.id/MamaSuka-Delisaos-Saus-Teriyaki-320-ml-i.267130746.9409708823,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lrzt6cl9hrax69_tn.webp,MamaSuka - Delisaos Saus Teriyaki 320 ml,15.030,-10%,4.9,KOTA JAKARTA TIMUR,"Saus khas Asia ini dibuat dari bahan-bahan pilihan dengan paduan rasa gurih manis yang pas untuk menambah citarasa masakan Anda. Dengan harga kompetitif, bumbu masakan ini memadukan bahan-bahan berkualitas pilihan tanpa pemanis buatan, menghasilkan kombinasi rasa gurih manis khas Asia yang lezat. Praktis dan mudah digunakan, saus ini cocok untuk berbagai bahan masakan (daging, ayam, ikan, sayuran, tempe, tahu, dll) dan segala jenis masakan baik Asia maupun lokal. Jadikan masakan Anda lebih istimewa dengan penyedap rasa serbaguna ini"
https://shopee.co.id/Giggly-Coco-Isotonic-Powder-Coconut-Original-11-gr-Box-Isi-15-Sachet-i.36998337.24320408065,https://down-id.img.susercontent.com/file/id-11134201-7ras9-m0ywajlufgh4f8_tn.webp,Giggly Coco Isotonic Powder Coconut Original 11 gr Box Isi 15 Sachet,79.900,-42%,5.0,KOTA JAKARTA UTARA,"Giggly Coco Isotonic Coconut Original Powder adalah minuman isotonik berbentuk serbuk dengan bahan dasar air kelapa yang menyegarkan. Minuman olahraga ini mengandung 7 elektrolit esensial yang dapat membantu mengganti ion tubuh lebih cepat setelah berkeringat. Selain itu, produk ini dilengkapi dengan kandungan vitamin C yang cukup, sehingga tidak hanya mengganti cairan tubuh yang hilang, tetapi juga membantu memenuhi kebutuhan vitamin C harian. Detail Produk: Kemasan: Box, 15 Sachet @ 11 gr, Varian: Original, No. BPOM: MD 243182000700010. Manfaatnya adalah memberikan hidrasi saat atau setelah berolahraga, menjaga performa olahraga jangka panjang, membantu pemulihan ion dan stamina tubuh, serta membantu menetralkan kadar alkohol. Kelebihannya mengandung sedikit gula, bebas pemanis buatan, aman untuk ibu hamil, dan dikemas dalam bentuk sachet yang praktis dibawa. Termasuk dalam kategori minuman kesehatan dan suplemen elektrolit"
https://shopee.co.id/3-pcs-Tepung-Mocaf-500g-Ladang-Lima-Tepung-Singkong-APF-Gluten-Free-Pengganti-Terigu--i.129201096.10555942420,https://down-id.img.susercontent.com/file/37bf92760119b7a1fa564fe521ffde63_tn.webp,3 pcs - Tepung Mocaf 500g Ladang Lima [Tepung Singkong/APF Gluten Free Pengganti Terigu],61.577,-13%,4.9,KOTA SURABAYA,"Tepung APF serbaguna (all purpose cassava flour) atau biasa juga disebut Mocaf Ladang Lima adalah bahan masakan berupa tepung serbaguna yang 100% terbuat dari singkong segar & pilihan berkualitas tinggi yang dirawat dan dibudidayakan secara alami tanpa tambahan bahan kimia. Diproses dengan fermentasi melalui metode bioteknologi sehingga menghasilkan tepung serbaguna berkualitas tinggi menyerupai karakteristik tepung terigu protein rendah. Tepung kue yang sehat ini dapat digunakan untuk pembuatan kue, bolu, muffin, cookies, pengental, kerupuk, gorengan, dan aneka kreasi makanan lainnya. Pilihan lebih sehat karena bebas gluten dan rendah indeks glikemik, kaya serat, zat besi, dan kalsium, serta dibuat tanpa proses pemutihan. Tepung singkong serbaguna ini cocok dikonsumsi oleh orang yang mengalami intoleransi gluten. Masa simpan: 18 bulan (1,5 tahun)"
https://shopee.co.id/Yangini-Sosis-Sapi-Kombinasi-150-gr-i.259753731.11975183405,https://down-id.img.susercontent.com/file/ced3be43b2fa42604dfb5fc0119c6b7c_tn.webp,Yangini Sosis Sapi Kombinasi - 150 gr,21.000,-16%,4.7,KOTA JAKARTA TIMUR,"Yangini Sosis Sapi Kombinasi - 150 gr adalah daging olahan berupa sosis sapi yang terbuat dari daging sapi pilihan dan diolah secara higienis sesuai standar Internasional. Dalam satu kemasan terdapat 3 buah sosis dengan panjang 16 cm dan diameter 2 cm, dikemas secara vacuum seal. Makanan beku ini mengandung gizi dan protein yang tinggi, cocok untuk digoreng, dibakar, dan dikukus. Masa simpan produk adalah 6 bulan. Setelah diterima, segera masukkan ke dalam freezer. Setelah kemasan dibuka dan ada sisa produk, simpan di lemari pendingin. Kemfood merupakan pelopor industri olahan daging dan semua produknya telah bersertifikasi Halal MUI dan lulus uji BPOM. Nikmati lauk praktis dan lezat ini."
https://shopee.co.id/Pronas-Paket-Bundling-Kornetku-Kornet-Sapi-340-Gr-Bolognaisku-250-Gr-Free-Lunch-Box-i.262869574.29925936086,https://down-id.img.susercontent.com/file/id-11134207-7rbka-m65701uhwd1y47_tn.webp,Pronas Paket Bundling Kornetku Kornet Sapi 340 Gr & Bolognaisku 250 Gr Free Lunch Box,37.000,-20%,4.8,KOTA BEKASI,"PRONAS Paket Bundling Kornetku Kornet Sapi 340 gr & Bolognaisku 250 gr Free Lunch Box adalah paket daging olahan. Kornetku, terbuat dari bahan berkualitas, merupakan lauk praktis dan lezat dengan rasa yang sempurna dari generasi ke generasi dengan harga terjangkau. Bolognaisku, yaitu saus Bolognais Pronas, diperkaya dengan daging ayam berkualitas dan bumbu lengkap, membuat kreasi hidangan jadi lebih mudah, praktis, dan nikmat. Isi paket: Kornetku 340 gr (1 pcs) dan Bolognaisku 250 gr (1 pcs), ditambah free lunch box. Nikmati kemudahan memasak dengan bahan makanan olahan ini."
https://shopee.co.id/5-pcs-Cheesethins-80g-Cookies-Ladang-Lima-Healthy-Cookies-With-Protein-i.129201096.12128373300,https://down-id.img.susercontent.com/file/a0914a68ce71a810a41a7abbdbfadb0c_tn.webp,5 pcs - Cheesethins 80g Cookies Ladang Lima | Healthy Cookies With Protein,166.495,-16%,4.9,KOTA SURABAYA,"Cheesethins Cookies Ladang Lima adalah makanan ringan berupa biskuit sehat, mudah, dan bebas gluten. Kue kering favorit yang cheesy, crunchy, dan yummy ini terbuat dari tepung singkong ""bebas gluten"" Ladang Lima, dipadu dengan taburan almond, keju, dan serpihan kelapa yang memberikan rasa gurih dan renyah. Sebagai camilan sehat, produk ini bebas gluten & telur, tanpa pengawet & MSG, sumber omega 3 & 6, tinggi serat, serta rendah indeks glikemik (aman untuk diabetes dan autoimun). Bahan-bahannya antara lain tepung singkong Ladang Lima, keju, tepung pati jagung, tepung beras, tepung kelapa, kacang almond, gula kelapa, mentega, flaxseed, garam, dan vanilla. Masa simpan produk: 14 bulan. Produk ini tersertifikasi Halal MUI & BPOM RI MD636237009944. Net weight: 80g."
https://shopee.co.id/Sasa-Sambal-Asli-Pedas-Nikmat-135-Ml-Halal-MUI-i.142014424.2161723827,https://down-id.img.susercontent.com/file/id-11134207-7r98w-lychs87v6cjs7c_tn.webp,Sasa Sambal Asli Pedas Nikmat 135 Ml Halal MUI,7.947,-10%,4.9,KOTA JAKARTA TIMUR,"Sasa Saus Sambal Asli 135 ml adalah bumbu masakan berupa saus sambal asli dengan citarasa pedas nikmat dari cabai asli, sangat cocok untuk melengkapi saat menyantap berbagai hidangan. Penyedap rasa pedas ini terbuat dari cabai pilihan berkualitas dengan sensasi pedas yang membuat ketagihan dan telah memiliki sertifikat Halal dari MUI. Detail: sambal asli, terbuat dari cabai pilihan berkualitas, memiliki citarasa pedas nikmat dari cabai asli, sangat cocok untuk melengkapi berbagai hidangan, isi 135 ml."
https://shopee.co.id/Sido-Muncul-Jamu-Tujuh-Angin-10's-Herbal-Demam-Dan-Masuk-Angin-i.139447146.2103865559,https://down-id.img.susercontent.com/file/id-11134201-7r98s-lqiqmrkqkl6tcd_tn.webp,Sido Muncul Jamu Tujuh Angin 10's - Herbal Demam Dan Masuk Angin,18.241,,4.9,KOTA DEPOK,"Sido Muncul Jamu Tujuh Angin merupakan obat herbal atau jamu yang dapat mengobati penyakit yang disebabkan masuk angin dengan gejala demam (meriang/greges-greges), suhu badan naik, pilek, kepala pusing, mata berkunang-kunang, keluar keringat dingin, dan mual. Komposisi: Zingiber Officinale Rhizoma (Jahe), Curcuma Xanthorrhiza Rhizoma (Temulawak), Zingiberis Aromaticae Rhizoma (Lempuyang), Languatis Galanga Rhizoma (Lengkuas), Kaempferiae Rhizoma (Kencur). Manfaat herbal ini adalah mengobati penyakit masuk angin dengan gejala-gejala tersebut. Termasuk dalam kategori obat tradisional dan obat masuk angin."
https://shopee.co.id/Anlene-Actifit-3X-Susu-Bubuk-Dewasa-Cokelat-230g-Nutrisi-Tinggi-Kalsium-Untuk-Tulang-Sendi-Dan-Otot-i.123144186.1889260083,https://down-id.img.susercontent.com/file/id-11134207-7rasm-m153q379cvrn89_tn.webp,"Anlene Actifit 3X Susu Bubuk Dewasa Cokelat 230g - Nutrisi Tinggi Kalsium Untuk Tulang, Sendi, Dan Otot",39.300,,4.8,KOTA BALIKPAPAN,"Dapatkan yang lebih dari susu biasa, rawat tulang, sendi, dan otot Anda dengan nutrisi yang tepat bersama Anlene Actifit. Susu bubuk berkalsium tinggi ini dilengkapi dengan 3X manfaat: kalsium tinggi untuk tulang kuat, kolagen + vitamin C untuk persendian yang kuat, dan protein berkualitas tinggi untuk kekuatan otot. Sangat penting untuk membangun dan memelihara kesehatan tulang, sendi, dan otot untuk mendukung mobilitas dan kelenturan aktivitas sehari-hari. Anlene Actifit juga mengandung vitamin A, B, C, D, E, magnesium, dan zinc untuk menjaga kekebalan tubuh. Minuman susu ini mengandung nutrisi yang tepat untuk kesehatan tulang, sendi, dan otot, merupakan perpaduan sempurna dari susu bubuk tanpa lemak, sukrosa, bubuk whey, bubuk kakao, kalsium karbonat, premix mineral, dan premix vitamin, serta mengandung kolagen dari ikan dan protein kedelai. Cara konsumsi: campurkan 4 sendok makan susu bubuk cokelat Anlene Actifit dalam 200ml air hangat atau dingin dan konsumsi dua kali sehari. Termasuk dalam kategori susu dewasa dan suplemen kesehatan tulang dan sendi."
https://shopee.co.id/Sido-Muncul-Minuman-Kunyit-Asam-Sirih-5's-Mengurangi-Bau-Badan-i.139447146.2103865216,https://down-id.img.susercontent.com/file/id-11134201-7r98w-lqd83bnzjf4575_tn.webp,Sido Muncul Minuman Kunyit Asam Sirih 5's - Mengurangi Bau Badan,9.120,,4.9,KAB. SIDOARJO,"Sido Muncul Minuman Kunyit Asam Sirih merupakan minuman tradisional Indonesia yang bermanfaat untuk membantu mengurangi bau badan, menjaga badan tetap ramping, dan menyehatkan badan. Sirih sebagai antiseptik baik diminum menjelang dan pada saat menstruasi. Komposisi: Kunyit, Asam Jawa, Sirih, Madu, Gula, Garam, Citric Acid. Manfaat minuman herbal ini adalah membantu mengurangi bau badan, menjaga badan tetap ramping, dan menyehatkan badan. Termasuk dalam kategori minuman kesehatan dan obat herbal."
